y_code,max_y_rdate,k_features
TCU_diff_lag_1,2020-09-01,18
BOPTIMP_diff_lag_1,2020-09-01,11
BOPTIMP_perc_diff_lag_1,2020-09-01,12
PAYEMS_diff_lag_1,2020-09-01,12
RRSFS_perc_diff_lag_1,2020-09-01,14
RRSFS_diff_lag_1,2020-09-01,12
INDPRO_diff_lag_1,2020-09-01,13
INDPRO_perc_diff_lag_1,2020-09-01,12
BOPTEXP_diff_lag_1,2020-09-01,20
BOPTEXP_perc_diff_lag_1,2020-09-01,14
CPALTT01USM657N,2020-09-01,13
UNRATE_diff_lag_1,2020-09-01,23
AMDMVS_diff_lag_1,2020-09-01,13
DSPIC96_perc_diff_lag_1,2018-09-01,13
DSPIC96_diff_lag_1,2018-09-01,14
PCEC96_diff_lag_1,2018-09-01,11
PCEC96_perc_diff_lag_1,2018-09-01,11
INVCMRMT_diff_lag_1,2018-09-01,13
TCU_diff_lag_1,2018-09-01,16
TCU,2018-09-01,12
BOPTIMP_diff_lag_1,2018-09-01,14
BOPTIMP_perc_diff_lag_1,2018-09-01,14
PAYEMS_diff_lag_1,2018-09-01,34
RRSFS_diff_lag_1,2018-09-01,14
RRSFS_perc_diff_lag_1,2018-09-01,13
INDPRO_perc_diff_lag_1,2018-09-01,14
INDPRO_diff_lag_1,2018-09-01,11
BOPTEXP_diff_lag_1,2018-09-01,11
BOPTEXP_perc_diff_lag_1,2018-09-01,19
CPALTT01USM657N,2018-09-01,14
AMDMVS_diff_lag_1,2018-09-01,15
DSPIC96_perc_diff_lag_1,2021-05-01,12
DSPIC96_diff_lag_1,2021-05-01,11
PCEC96_diff_lag_1,2021-05-01,16
PCEC96_perc_diff_lag_1,2021-05-01,12
INVCMRMT_diff_lag_1,2021-05-01,11
TCU_diff_lag_1,2021-05-01,16
BOPTIMP_perc_diff_lag_1,2021-05-01,16
BOPTIMP_diff_lag_1,2021-05-01,11
PAYEMS_diff_lag_1,2021-05-01,11
RRSFS_perc_diff_lag_1,2021-05-01,11
RRSFS_diff_lag_1,2021-05-01,13
INDPRO_perc_diff_lag_1,2021-05-01,11
INDPRO_diff_lag_1,2021-05-01,11
BOPTEXP_diff_lag_1,2021-05-01,14
BOPTEXP_perc_diff_lag_1,2021-05-01,15
CPALTT01USM657N,2021-05-01,13
UNRATE,2021-05-01,20
UNRATE_diff_lag_1,2021-05-01,15
AMDMVS_diff_lag_1,2021-05-01,12
DSPIC96_perc_diff_lag_1,2020-04-01,12
DSPIC96_diff_lag_1,2020-04-01,11
INVCMRMT_diff_lag_1,2020-04-01,14
INVCMRMT_perc_diff_lag_1,2020-04-01,18
BOPTIMP_diff_lag_1,2020-04-01,11
BOPTIMP_perc_diff_lag_1,2020-04-01,17
RRSFS_perc_diff_lag_1,2020-04-01,14
CPALTT01USM657N,2020-04-01,22
DSPIC96_diff_lag_1,2020-06-01,20
DSPIC96_perc_diff_lag_1,2020-06-01,17
PCEC96_perc_diff_lag_1,2020-06-01,12
PCEC96_diff_lag_1,2020-06-01,16
INVCMRMT_diff_lag_1,2020-06-01,18
INVCMRMT_perc_diff_lag_1,2020-06-01,15
TCU,2020-06-01,16
BOPTIMP_perc_diff_lag_1,2020-06-01,17
BOPTIMP_diff_lag_1,2020-06-01,26
RRSFS_perc_diff_lag_1,2020-06-01,14
RRSFS_diff_lag_1,2020-06-01,15
BOPTEXP_diff_lag_1,2020-06-01,19
BOPTEXP_perc_diff_lag_1,2020-06-01,14
CPALTT01USM657N,2020-06-01,20
UNRATE_diff_lag_1,2020-06-01,23
AMDMVS_diff_lag_1,2020-06-01,22
DSPIC96_diff_lag_1,2019-08-01,12
DSPIC96_perc_diff_lag_1,2019-08-01,12
PCEC96_perc_diff_lag_1,2019-08-01,16
PCEC96_diff_lag_1,2019-08-01,13
INVCMRMT_diff_lag_1,2019-08-01,17
INVCMRMT_perc_diff_lag_1,2019-08-01,21
TCU_diff_lag_1,2019-08-01,18
TCU,2019-08-01,14
BOPTIMP_diff_lag_1,2019-08-01,16
BOPTIMP_perc_diff_lag_1,2019-08-01,22
PAYEMS_diff_lag_1,2019-08-01,24
RRSFS_perc_diff_lag_1,2019-08-01,11
